discussion_id,people_id,sentiment,reason,industry,source
concert_Meeting_7_Discussion,Ed Helpsford,0.5,Believes concerts can bring community together but cautious about potential disruptions.,['tourism'],government
low_volume_crane_Meeting_3_Proposal_Discussion,Ed Helpsford,1.0,"Beneficial for small time fishers, who he feels are often overlooked",['small vessel'],government
affordable_housing_Meeting_10_Travel_Findings_Discussion,Ed Helpsford,1.0,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']",government
waterfront_market_Meeting_9_Report_Discussion,Ed Helpsford,1.0,Strongly supports as it could benefit small vessel,['tourism'],government
low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Seal,0.1,Recognizes the crane's benefit to small-scale operations.,['small vessel'],government
fish_vacuum_Meeting_3_Report_Discussion,Teddy Goldstein,0.5,Useful for fishing operations but may have environmental concerns.,['large vessel'],government
affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,Ed Helpsford,1.0,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']",government
expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Teddy Goldstein,-0.5,Seen as prioritizing tourism over fishing-related infrastructure.,['tourism'],government
expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Seal,0.1,"Seems like headache, but if other people are willing to do the work.",['tourism'],government
expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,Teddy Goldstein,-0.5,Seen as prioritizing tourism over fishing-related infrastructure.,['tourism'],government
statue_john_smoth_Travel_The_Bait_Stich_Discussion,Seal,0.2,Appreciates historical recognition but sees limited practical benefit.,[],government
affordable_housing_Travel_Tidewater_Flats_Discussion,Teddy Goldstein,1.0,Strongly supports affordable housing for workers.,"['large vessel', 'small vessel']",government
new_crane_lomark_Meeting_8_Share_Findings_Discussion,Teddy Goldstein,1.0,Essential for improving efficiency in fishing operations.,['large vessel'],government
affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,Teddy Goldstein,1.0,Strongly supports affordable housing for workers.,"['large vessel', 'small vessel']",government
affordable_housing_Meeting_8_Gather_Feedback_Discussion,Ed Helpsford,1.0,Feels committee should be doing more for blue-collar workers. Nephew is having trouble finding housing,"['large vessel', 'small vessel']",government
name_inspection_office_Meeting_9_Community_Vote_Discussion,Ed Helpsford,0.0,Supportive but also feels it is a distraction,[],government
expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Seal,0.1,"Seems like headache, but if other people are willing to do the work.",['tourism'],government
