meeting_id,plan_id,source
Meeting_16,concert_Meeting_16_Road_Closures,government
Meeting_9,expanding_tourist_wharf_Meeting_9_Report,government
Meeting_9,statue_john_smoth_Travel_The_Bait_Stich,government
Meeting_9,affordable_housing_Travel_Tidewater_Flats,government
Meeting_9,affordable_housing_Meeting_9_Invite_Developers,government
Meeting_9,name_inspection_office_Meeting_9_Community_Vote,government
Meeting_9,waterfront_market_Meeting_9_Report,government
Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report,government
Meeting_4,deep_fishing_dock_Meeting_4_Recommendation,government
Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis,government
Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas,government
Meeting_3,deep_fishing_dock_Meeting_3_Maintenance_Plan,government
Meeting_3,fish_vacuum_Meeting_3_Report,government
Meeting_3,low_volume_crane_Meeting_3_Proposal,government
Meeting_6,affordable_housing_Meeting_6_Sites_Proposal,government
Meeting_10,affordable_housing_Meeting_10_Housing_Proposal,government
Meeting_10,name_harbor_area_Meeting_10_Historical_Significance,government
Meeting_7,affordable_housing_Travel_Waveside_Townhomes,government
Meeting_7,affordable_housing_Meeting_7_Debate,government
Meeting_7,heritage_walking_tour_Meeting_7_Outline,government
Meeting_7,waterfront_market_Meeting_7_Benefits_Feasibility,government
Meeting_7,concert_Meeting_7_Concert_Issues,government
Meeting_2,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,government
Meeting_8,statue_john_smoth_Meeting_8_Proposal,government
Meeting_8,new_crane_lomark_Meeting_8_Share_Findings,government
Meeting_8,low_volume_crane_Meeting_8_Report,government
Meeting_8,affordable_housing_Meeting_8_Feedback,government
Meeting_8,name_inspection_office_Meeting_8_Importance,government
Meeting_1,fish_vacuum_Meeting_1_Introduction,government
Meeting_12,name_harbor_area_Meeting_12_Public_Opinion,government
Meeting_12,marine_life_deck_Meeting_12_Environmental_Impact_Report,government
Meeting_5,new_crane_lomark_Meeting_5_Cost_Impact_Report,government
Meeting_5,low_volume_crane_Travel_Harbor_Route_Solutions,government
Meeting_1,seafood_festival_Meeting_1_Feasibility,government
Meeting_2,fish_vacuum_Travel_Bay_Harvest_Corporation,government
Meeting_2,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,government
Meeting_2,seafood_festival_Meeting_2_Feedback,government
Meeting_3,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,government
Meeting_3,seafood_festival_Meeting_3_Take_Action,government
Meeting_5,new_crane_lomark_Travel_Blue_Wave_Shipping,government
Meeting_5,renaming_park_himark_Travel_Himark_City_Hall,government
Meeting_5,renaming_park_himark_Meeting_5_Nominations,government
Meeting_7,waterfront_market_Travel_Harbor_Edge_Grill,government
Meeting_8,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,government
Meeting_8,low_volume_crane_Travel_Harbor_Builders,government
Meeting_8,low_volume_crane_Travel_Haacklee_Assembly_Co,government
Meeting_8,name_inspection_office_Travel_Lomark_Civic_Plaza,government
Meeting_8,heritage_walking_tour_Travel_Captain_Market,government
Meeting_8,heritage_walking_tour_Meeting_8_Proposal,government
Meeting_9,heritage_walking_tour_Meeting_9_Report,government
Meeting_9,heritage_walking_tour_Meeting_9_Take_Action,government
Meeting_10,marine_life_deck_Meeting_10_Initial_Ideas,government
Meeting_11,marine_life_deck_Meeting_11_Feedback,government
Meeting_11,marine_life_deck_Travel_Tropics_Environmental_Hub,government
Meeting_12,marine_life_deck_Meeting_12_Detailed_Proposal,government
Meeting_3,seafood_festival_Meeting_3_Report,journalist
Meeting_4,renaming_park_himark_Travel_Anchor_Way_Grill,journalist
Meeting_4,renaming_park_himark_Travel_Sailors_Perch_Light,journalist
Meeting_7,renaming_park_himark_Meeting_7_Announce_Name,journalist
Meeting_7,renaming_park_himark_Meeting_7_Unveiling_Event,journalist
Meeting_8,renaming_park_himark_Meeting_8_Compile_Nominations,journalist
Meeting_8,name_inspection_office_Meeting_8_Proposal,journalist
Meeting_8,waterfront_market_Travel_Harborfront_Market,journalist
Meeting_8,waterfront_market_Meeting_8_Gather_Feedback,journalist
Meeting_8,concert_Travel_Paakland_Elementary,journalist
Meeting_9,statue_john_smoth_Meeting_9_Feedback,journalist
Meeting_10,statue_john_smoth_Meeting_10_Presentation,journalist
Meeting_11,name_harbor_area_Travel_The_Bait_Stich,journalist
Meeting_11,name_harbor_area_Travel_Harbor_Odyssey_Tours,journalist
Meeting_11,name_harbor_area_Meeting_11_Draft_Names,journalist
Meeting_14,name_harbor_area_Meeting_14_Finalize_Name,journalist
Meeting_14,name_inspection_office_Meeting_14_Announcement,journalist
Meeting_16,concert_Meeting_16_Feedback,journalist
Meeting_16,concert_Meeting_16_Communication_Complaints,journalist
