discussion_id,plan_id,status,source
concert_Meeting_7_Discussion,concert_Meeting_7_Concert_Issues,completed,government
affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing_Meeting_9_Invite_Developers,planned,government
low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane_Meeting_3_Proposal,completed,government
affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing_Meeting_10_Housing_Proposal,planned,government
waterfront_market_Meeting_9_Report_Discussion,waterfront_market_Meeting_9_Report,planned,government
low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane_Travel_Harbor_Route_Solutions,completed,government
affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing_Meeting_6_Sites_Proposal,in_progress,government
fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum_Meeting_3_Report,completed,government
affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing_Travel_Waveside_Townhomes,completed,government
fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,completed,government
expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,expanding_tourist_wharf_Meeting_9_Report,planned,government
name_harbor_area_Meeting_10_Historical_Significance_Discussion,name_harbor_area_Meeting_10_Historical_Significance,completed,government
expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,expanding_tourist_wharf_Meeting_9_Report,in_progress,government
statue_john_smoth_Travel_The_Bait_Stich_Discussion,statue_john_smoth_Travel_The_Bait_Stich,introduced,government
affordable_housing_Travel_Tidewater_Flats_Discussion,affordable_housing_Travel_Tidewater_Flats,planned,government
renaming_park_himark_Meeting_4_Name_Ideas_Discussion,renaming_park_himark_Meeting_4_Name_Ideas,planned,government
new_crane_lomark_Meeting_8_Share_Findings_Discussion,new_crane_lomark_Meeting_8_Share_Findings,planned,government
affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,affordable_housing_Travel_Tidewater_Flats,completed,government
affordable_housing_Meeting_8_Gather_Feedback_Discussion,affordable_housing_Meeting_8_Feedback,planned,government
name_inspection_office_Meeting_8_Importance_Discussion,name_inspection_office_Meeting_8_Importance,in_progress,government
name_inspection_office_Meeting_9_Community_Vote_Discussion,name_inspection_office_Meeting_9_Community_Vote,planned,government
new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,new_crane_lomark_Meeting_4_Cost_Analysis,completed,government
heritage_walking_tour_Meeting_7_Discussion,heritage_walking_tour_Meeting_7_Outline,completed,government
expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,expanding_tourist_wharf_Meeting_9_Report,Completed,government
marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,marine_life_deck_Meeting_12_Environmental_Impact_Report,planned,government
low_volume_crane_Meeting_8_Report_Discussion,low_volume_crane_Meeting_8_Report,planned,government
