trip_id,people_id,time,source
trip_146,Simone Kat,nan,government
trip_188,Carol Limpet,nan,government
trip_33,Tante Titan,nan,government
trip_47,Simone Kat,nan,government
trip_177,Carol Limpet,nan,government
trip_274,Simone Kat,nan,government
trip_20,Simone Kat,nan,government
trip_65,Simone Kat,nan,government
trip_114,Simone Kat,nan,government
trip_227,Tante Titan,nan,government
trip_224,Carol Limpet,nan,government
trip_106,Tante Titan,nan,government
trip_267,Simone Kat,nan,government
trip_116,Teddy Goldstein,nan,government
trip_22,Simone Kat,nan,government
trip_138,Simone Kat,nan,government
trip_178,Tante Titan,nan,government
trip_149,Seal,nan,government
trip_0,Simone Kat,nan,government
trip_11,Simone Kat,nan,government
trip_12,Simone Kat,nan,government
trip_14,Simone Kat,nan,government
trip_38,Simone Kat,nan,government
trip_44,Simone Kat,nan,government
trip_56,Simone Kat,nan,government
trip_63,Simone Kat,nan,government
trip_76,Simone Kat,nan,government
trip_94,Simone Kat,nan,government
trip_97,Simone Kat,nan,government
trip_101,Simone Kat,nan,government
trip_105,Simone Kat,nan,government
trip_115,Simone Kat,nan,government
trip_118,Simone Kat,nan,government
trip_121,Simone Kat,nan,government
trip_122,Simone Kat,nan,government
trip_131,Simone Kat,nan,government
trip_145,Simone Kat,nan,government
trip_155,Simone Kat,nan,government
trip_157,Simone Kat,nan,government
trip_163,Simone Kat,nan,government
trip_166,Simone Kat,nan,government
trip_169,Simone Kat,nan,government
trip_170,Simone Kat,nan,government
trip_173,Simone Kat,nan,government
trip_186,Simone Kat,nan,government
trip_187,Simone Kat,nan,government
trip_204,Simone Kat,nan,government
trip_205,Simone Kat,nan,government
trip_210,Simone Kat,nan,government
trip_215,Simone Kat,nan,government
trip_219,Simone Kat,nan,government
trip_228,Simone Kat,nan,government
trip_229,Simone Kat,nan,government
trip_230,Simone Kat,nan,government
trip_231,Simone Kat,nan,government
trip_233,Simone Kat,nan,government
trip_241,Simone Kat,nan,government
trip_242,Simone Kat,nan,government
trip_243,Simone Kat,nan,government
trip_244,Simone Kat,nan,government
trip_247,Simone Kat,nan,government
trip_252,Simone Kat,nan,government
trip_262,Simone Kat,nan,government
trip_273,Simone Kat,nan,government
trip_285,Simone Kat,nan,government
trip_286,Simone Kat,nan,government
trip_292,Simone Kat,nan,government
trip_294,Simone Kat,nan,government
trip_300,Simone Kat,nan,government
trip_307,Simone Kat,nan,government
trip_312,Simone Kat,nan,government
trip_315,Simone Kat,nan,government
trip_317,Simone Kat,nan,government
trip_322,Simone Kat,nan,government
trip_327,Simone Kat,nan,government
trip_338,Simone Kat,nan,government
trip_5,Carol Limpet,nan,government
trip_8,Carol Limpet,nan,government
trip_15,Carol Limpet,nan,government
trip_16,Carol Limpet,nan,government
trip_19,Carol Limpet,nan,government
trip_23,Carol Limpet,nan,government
trip_24,Carol Limpet,nan,government
trip_28,Carol Limpet,nan,government
trip_30,Carol Limpet,nan,government
trip_48,Carol Limpet,nan,government
trip_50,Carol Limpet,nan,government
trip_52,Carol Limpet,nan,government
trip_59,Carol Limpet,nan,government
trip_64,Carol Limpet,nan,government
trip_67,Carol Limpet,nan,government
trip_71,Carol Limpet,nan,government
trip_72,Carol Limpet,nan,government
trip_73,Carol Limpet,nan,government
trip_74,Carol Limpet,nan,government
trip_79,Carol Limpet,nan,government
trip_81,Carol Limpet,nan,government
trip_85,Carol Limpet,nan,government
trip_92,Carol Limpet,nan,government
trip_100,Carol Limpet,nan,government
trip_102,Carol Limpet,nan,government
trip_109,Carol Limpet,nan,government
trip_110,Carol Limpet,nan,government
trip_111,Carol Limpet,nan,government
trip_112,Carol Limpet,nan,government
trip_123,Carol Limpet,nan,government
trip_125,Carol Limpet,nan,government
trip_130,Carol Limpet,nan,government
trip_137,Carol Limpet,nan,government
trip_139,Carol Limpet,nan,government
trip_144,Carol Limpet,nan,government
trip_153,Carol Limpet,nan,government
trip_154,Carol Limpet,nan,government
trip_175,Carol Limpet,nan,government
trip_180,Carol Limpet,nan,government
trip_184,Carol Limpet,nan,government
trip_190,Carol Limpet,nan,government
trip_193,Carol Limpet,nan,government
trip_195,Carol Limpet,nan,government
trip_197,Carol Limpet,nan,government
trip_201,Carol Limpet,nan,government
trip_203,Carol Limpet,nan,government
trip_207,Carol Limpet,nan,government
trip_218,Carol Limpet,nan,government
trip_221,Carol Limpet,nan,government
trip_235,Carol Limpet,nan,government
trip_238,Carol Limpet,nan,government
trip_240,Carol Limpet,nan,government
trip_246,Carol Limpet,nan,government
trip_251,Carol Limpet,nan,government
trip_256,Carol Limpet,nan,government
trip_257,Carol Limpet,nan,government
trip_270,Carol Limpet,nan,government
trip_277,Carol Limpet,nan,government
trip_282,Carol Limpet,nan,government
trip_290,Carol Limpet,nan,government
trip_291,Carol Limpet,nan,government
trip_303,Carol Limpet,nan,government
trip_309,Carol Limpet,nan,government
trip_311,Carol Limpet,nan,government
trip_323,Carol Limpet,nan,government
trip_335,Carol Limpet,nan,government
trip_1,Seal,nan,government
trip_4,Seal,nan,government
trip_27,Seal,nan,government
trip_40,Seal,nan,government
trip_41,Seal,nan,government
trip_43,Seal,nan,government
trip_57,Seal,nan,government
trip_61,Seal,nan,government
trip_70,Seal,nan,government
trip_77,Seal,nan,government
trip_78,Seal,nan,government
