topic_id,industries_involved,short_topic,long_topic
affordable_housing,"['large vessel', 'small vessel']",affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals)
concert,['tourism'],concert,Plan for Concert
expanding_tourist_wharf,['tourism'],expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee
fish_vacuum,['large vessel'],fish_vacuum,Fish Vacuum
heritage_walking_tour,['tourism'],heritage_walking_tour,Developing a Heritage Walking Tour in Haacklee
low_volume_crane,['small vessel'],low_volume_crane,Low-volume unload crane in Haacklee
marine_life_deck,['tourism'],marine_life_deck,Establishing a Marine Life Observation Deck in Centralia
name_harbor_area,[],name_harbor_area,Putting a name on pictureque harbor area in Port Grove
name_inspection_office,[],name_inspection_office,Putting a name on the inspection office in Lomark
new_crane_lomark,['large vessel'],new_crane_lomark,Money for a new crane at Lomark
renaming_park_himark,[],renaming_park_himark,Renaming a park in Himark
seafood_festival,"['tourism', 'small vessel']",seafood_festival,Hosting an Annual Seafood Festival in Paackland
statue_john_smoth,[],statue_john_smoth,Statue to honor John Smoth in Port Grove
waterfront_market,['tourism'],waterfront_market,Establishing a Waterfront Market in Haacklee
