plan_id,organization_id,sentiment,reason,industry,source
deep_fishing_dock_Meeting_3_Maintenance_Plan,Industrial Shipping,,,,government
name_inspection_office_Meeting_8_Importance,High Seas Fishing Inc.,0.0,Symbolic gesture with no direct impact on fishing or vessel operations.,[],government
affordable_housing_Meeting_9_Invite_Developers,Builders Association,1.0,"Supports affordable housing for workers, which benefits large vessel operations.","['large vessel', 'small vessel']",government
affordable_housing_Meeting_9_Invite_Developers,Industrial Shipping,1.0,"Supports affordable housing for workers, which benefits large vessel operations.","['large vessel', 'small vessel']",government
new_crane_lomark_Meeting_4_Cost_Analysis,Industrial Shipping,1.0,"Primarily benefits large vessel operations, which are essential for the organization.",['large vessel'],government
new_crane_lomark_Meeting_4_Cost_Analysis,Tours Central Ticketing,-1.0,"Primarily benefits fishing operations, not tourism.",['large vessel'],government
new_crane_lomark_Meeting_4_Cost_Analysis,Saltwater Serenades,-1.0,"Primarily benefits fishing operations, not tourism.",['large vessel'],government
fish_vacuum_Meeting_2_Cost_Benefit_Analysis,High Seas Fishing Inc.,1.0,"Small vessels are the backbone of the company, and this improves operations.",['small vessel'],government
fish_vacuum_Meeting_1_Introduction,High Seas Fishing Inc.,1.0,"Small vessels are the backbone of the company, and this improves operations.",['small vessel'],government
name_harbor_area_Meeting_10_Historical_Significance,Daughters of Port Grove,0.0,Symbolic gesture with no direct impact on tourism or vessel operations.,[],government
heritage_walking_tour_Meeting_7_Outline,Daughters of Port Grove,0.5,Believes it will enhance the cultural appeal and attract more visitors.,['tourism'],government
affordable_housing_Meeting_6_Sites_Proposal,Builders Association,1.0,"Supports affordable housing for workers, which benefits large vessel operations.","['large vessel', 'small vessel']",government
affordable_housing_Meeting_6_Sites_Proposal,Saltwater Serenades,-1.0,Conflicts with tourism-focused short-term rentals.,"['large vessel', 'small vessel']",government
deep_fishing_dock_Meeting_4_Findings_Report,Industrial Shipping,,,,government
renaming_park_himark_Meeting_4_Name_Ideas,PTA,0.0,Symbolic gesture with no direct impact on children or education.,[],government
affordable_housing_Meeting_8_Feedback,Industrial Shipping,1.0,"Supports affordable housing for workers, which benefits large vessel operations.","['large vessel', 'small vessel']",government
statue_john_smoth_Meeting_8_Proposal,Daughters of Port Grove,1.0,Historical recognition aligns with tourism interests.,[],government
